CarID,ManHI,ManBI,IntI,HVACi,Safety,CarType
1,-5.27,-1.3,2.86,-4.85,4.04,SUV
2,-4.82,-5.38,9.72,-0.97,-4.57,Hatchback
3,9.57,-7.5,-7.61,1.33,-5.1,Hatchback
4,2.84,-2.85,0.92,5.51,-6.64,Hatchback
5,0,2.68,-4.15,0.85,5.58,SUV
6,0.4,6.34,0.83,5.03,-8.1,SUV
7,5.94,3.14,-6.65,6.62,-1.32,Hatchback
8,5.78,-1.75,-6.85,0.73,5.5,Hatchback
9,0.86,-4.32,8.1,-8.96,3.1,Hatchback
10,7.36,7.42,0.27,-8.62,3.08,SUV
11,-7.95,-6.44,-4.68,3.86,9.82,Hatchback
12,-1.75,-8.09,-6.06,-9.13,-6.45,SUV
13,9.44,-0.02,-9.38,0.06,6.06,SUV
14,-9.67,9.61,7.85,5.88,-8.14,Hatchback
15,6.81,3.66,4.75,0.89,-2.41,Hatchback
16,-9.93,-6.15,5.77,8.76,3.6,Hatchback
17,3.16,-6.8,-2.94,1.83,8.36,Hatchback
18,5.36,-9.77,-3.68,-4.68,0.87,Hatchback
19,-4.46,0.79,-8.01,-6.72,-5.92,SUV
20,7.67,3.36,2.86,-7.24,3.71,SUV
21,7.44,2.28,-9.99,-1.89,4.17,SUV
22,2.03,-5.81,5.91,-6.47,9.79,Hatchback
23,-3.37,-2.06,3.7,-3.1,1.95,Hatchback
24,-3.39,-6.65,-7.48,4.5,1.95,Hatchback
25,-8.94,-2.31,-7,-0.01,2.16,SUV
26,7.46,-3.8,-0.41,6.34,9.24,Hatchback
27,6.43,-7.24,4.67,4.75,-5.07,Hatchback
28,5.14,-3.78,-1.93,1.24,8.35,Hatchback
29,-4.42,-4.7,9.36,-0.28,-1.63,Hatchback
30,-1.38,-8.8,0.73,-1.77,8.6,Hatchback
31,-4.83,-3.3,3.5,0.6,-9.11,Hatchback
32,-0.68,-1.66,5.24,7.02,-8.07,Hatchback
33,-8.32,-2.71,4.89,2.85,-5.75,Hatchback
34,9.44,5.87,-2.78,-6.79,-2.07,SUV
35,6.25,8.67,-3.4,8.96,4.84,Hatchback
36,0.32,-8.64,6.51,-6.86,9.99,Hatchback
37,8.63,-4.51,-2.76,-9.08,-1.11,SUV
38,-8.47,7.75,-5.94,-2.3,-3.5,SUV
39,-3.29,8.25,3.01,4.09,-9.77,SUV
40,2.97,-2.6,-4.43,4.99,-9.8,SUV
41,6.37,-0.95,4.82,-9.7,4.55,SUV
42,-7.15,-8.59,-6.48,-5.04,3.79,SUV
43,2.47,8.79,2.45,5.16,5.07,Hatchback
44,6.63,-9.29,-2.39,5.88,-6.59,Hatchback
45,2.99,1.28,-7.17,1.92,-3.94,SUV
46,-8.73,-3.36,-0.5,-6.5,2.33,SUV
47,7.01,8.6,3.73,1.13,3.14,Hatchback
48,-1.31,-6.43,-8.08,6.33,3.23,Hatchback
49,-0.79,3.33,-4.19,6.88,8.91,Hatchback
50,-5.17,4.65,-8.53,-9.36,0.09,SUV
51,3.67,-5.75,6.23,-7.3,-5.55,SUV
52,1.15,6.26,6.07,-5.59,-7.95,SUV
53,-9.04,-4.88,8.48,-5.04,0.36,Hatchback
54,2.67,-1.87,2.25,-1.47,0.36,Hatchback
55,0.64,-0.62,-1.38,1.54,0.79,Hatchback
56,5,-6.63,8.55,-6.58,-0.06,Hatchback
57,-0.97,9.52,-7.49,1.19,-0.1,SUV
58,-8.87,-9.94,-7.58,-6.41,4.85,SUV
59,5.76,-0.49,7.95,-6.07,2.35,Hatchback
60,-8.26,-1.36,-0.42,5.99,-3.12,Hatchback
61,-6.28,-1.76,5.41,5.32,4.91,Hatchback
62,-6.14,8.41,5.74,2.55,2.56,Hatchback
63,-7.07,-5.69,1.57,8.32,-2.04,Hatchback
64,-6.4,-2.63,8.76,3.79,2.4,Hatchback
65,2.06,7.81,4.02,-8.9,-0.76,SUV
66,-6.78,3.59,-3.63,7.95,9.13,Hatchback
67,3.53,7.81,-7.52,-5.93,-5,SUV
68,-1.67,-8.72,8.38,3.73,4.43,Hatchback
69,-9.07,-2.77,-7.1,-9.82,-1.21,SUV
70,-9.62,-0.05,5.61,9.89,-0.25,Hatchback
71,-5.44,0.33,-7.98,7.53,9.54,Hatchback
72,4.88,-1.99,9.58,-1.43,-8.76,Hatchback
73,0.63,-1.11,-3.22,6.66,7.72,Hatchback
74,6.49,-6.03,6.47,-8.21,-8.32,SUV
75,0.78,5.21,-7.74,9.78,1.41,Hatchback
76,2.92,7.36,-2.12,4.09,9.91,Hatchback
77,-3.93,-0.21,-2.65,3.57,-8.16,SUV
78,0.88,-3.76,-5.45,0.62,0.67,SUV
79,3.3,4.37,-2.13,8.45,-7.41,Hatchback
80,5.02,-7.54,1.57,-2.31,9.99,Hatchback
