OilQual,EnginePerf,NormMileage,TyreWear,HVACwear,Service
45.77333801,49.93661497,49.77758055,48.26385093,50.95207173,No
4.987185029,7.891002901,6.588986167,9.493160669,3.240262162,No
4.987185029,4.891002901,7.308986167,8.373160669,2.780262162,No
106.3888212,104.4540319,103.051485,106.2826583,105.5368429,No
104.3888212,103.7440319,103.051485,106.1326583,105.7768429,No
4.987185029,4.891002901,5.618986167,8.373160669,1.760262162,No
45.53333801,50.66661497,48.16758055,50.63385093,47.95207173,No
27.76551648,29.13826493,31.25953571,31.22616151,31.31127506,Yes
26.76551648,28.41826493,30.80953571,29.26616151,31.31127506,Yes
104.3888212,103.7440319,105.051485,106.2126583,104.2468429,No
4.987185029,5.891002901,7.228986167,8.373160669,1.080262162,No
104.3888212,103.4340319,104.051485,106.0626583,105.5368429,No
4.987185029,4.391002901,6.588986167,9.253160669,-1.719737838,No
104.3388212,103.7440319,103.591485,106.1726583,105.5368429,No
7.987185029,4.661002901,6.588986167,8.373160669,2.250262162,No
4.987185029,5.171002901,6.588986167,10.37316067,0.080262162,No
63.41328209,62.45106088,60.52088338,63.30403083,62.62051752,Yes
6.897185029,4.891002901,6.588986167,7.373160669,3.550262162,No
103.6488212,103.7440319,102.051485,106.6626583,105.5368429,No
58.96328209,62.74106088,61.57088338,63.30403083,62.62051752,Yes
26.74551648,27.41826493,31.25953571,31.03616151,31.26127506,Yes
104.3888212,103.5840319,103.371485,106.1726583,104.5368429,No
63.08328209,64.74106088,59.72088338,64.91403083,62.62051752,Yes
4.877185029,4.461002901,6.588986167,8.373160669,2.280262162,No
4.987185029,2.891002901,4.808986167,6.143160669,1.280262162,No
104.3288212,103.7440319,103.051485,106.1726583,105.5368429,No
4.987185029,2.891002901,6.588986167,10.83316067,0.100262162,No
2.597185029,3.541002901,6.588986167,8.373160669,1.280262162,No
4.817185029,4.891002901,9.588986167,8.703160669,1.280262162,No
104.3888212,103.7440319,103.381485,107.4926583,103.5368429,No
104.3888212,103.6340319,103.051485,106.4626583,105.5368429,No
43.53333801,52.21661497,49.71758055,48.26385093,47.95207173,No
6.497185029,3.501002901,5.588986167,8.373160669,1.280262162,No
104.9688212,103.7440319,103.381485,106.1726583,105.5368429,No
7.837185029,5.891002901,6.588986167,8.373160669,1.730262162,No
62.41328209,64.37106088,60.72088338,63.30403083,64.00051752,Yes
45.20333801,50.63661497,49.77758055,48.26385093,47.95207173,No
104.3888212,103.5340319,104.051485,106.9726583,105.5368429,No
3.477185029,1.891002901,6.438986167,8.373160669,1.280262162,No
45.31333801,48.66661497,49.48758055,48.26385093,47.95207173,No
3.457185029,4.891002901,7.758986167,8.373160669,3.280262162,No
64.42328209,62.74106088,60.72088338,63.89403083,62.62051752,Yes
5.587185029,6.151002901,6.588986167,8.373160669,-1.719737838,No
62.41328209,63.13106088,58.72088338,62.91403083,62.62051752,Yes
104.3888212,103.7940319,103.101485,108.1726583,105.5368429,No
103.9788212,103.7440319,101.581485,106.1726583,105.5368429,No
103.3888212,103.7440319,103.051485,106.1726583,105.4168429,No
62.13328209,62.74106088,59.72088338,66.21403083,64.62051752,Yes
61.83328209,62.74106088,60.02088338,66.30403083,62.62051752,Yes
103.9388212,103.6240319,103.051485,105.1726583,105.5368429,No
26.64551648,27.41826493,31.25953571,31.02616151,32.31127506,Yes
4.987185029,4.891002901,5.048986167,9.373160669,3.690262162,No
64.13328209,61.50106088,59.72088338,63.30403083,62.62051752,Yes
47.01333801,49.66661497,49.77758055,47.23385093,47.95207173,No
103.3888212,103.7440319,103.051485,106.3626583,104.2968429,No
105.4988212,103.7440319,103.051485,107.4926583,105.5368429,No
43.67333801,49.66661497,48.77758055,48.26385093,46.28207173,No
46.29333801,50.10661497,49.77758055,50.26385093,47.95207173,No
4.987185029,4.271002901,5.188986167,8.373160669,3.280262162,No
105.1288212,103.7440319,103.051485,106.7226583,105.5368429,No
103.4088212,104.7440319,103.051485,107.7326583,105.5368429,No
104.3888212,101.7440319,103.051485,106.1726583,105.5368429,No
43.53333801,49.66661497,51.43758055,48.64385093,47.95207173,No
103.9788212,103.7440319,104.111485,106.1726583,105.5368429,No
62.41328209,65.74106088,59.82088338,63.30403083,62.67051752,Yes
26.76551648,28.41826493,32.23953571,29.32616151,31.31127506,Yes
60.41328209,62.53106088,60.21088338,63.30403083,62.62051752,Yes
104.3888212,105.7440319,103.051485,106.7426583,104.9568429,No
66.41328209,62.74106088,60.77088338,63.30403083,60.92051752,Yes
104.3888212,102.6840319,103.051485,107.1726583,104.5868429,No
46.53333801,49.66661497,49.77758055,46.65385093,49.23207173,No
27.58551648,27.41826493,32.25953571,29.03616151,30.47127506,Yes
4.987185029,4.031002901,5.968986167,8.373160669,1.280262162,No
104.3888212,102.7440319,103.121485,107.4226583,105.5368429,No
106.0988212,103.7440319,104.051485,106.1726583,105.1568429,No
45.53333801,49.66661497,50.77758055,48.76385093,48.13207173,No
104.3888212,103.7540319,103.171485,108.1726583,105.5368429,No
104.3888212,103.7440319,102.471485,105.0926583,105.5368429,No
63.71328209,60.15106088,59.72088338,62.30403083,62.62051752,Yes
24.76551648,27.41826493,31.25953571,28.76616151,31.45127506,Yes
63.77328209,62.74106088,59.13088338,63.30403083,61.62051752,Yes
60.41328209,62.74106088,62.35088338,61.14403083,62.62051752,Yes
4.767185029,4.581002901,6.588986167,8.373160669,2.280262162,No
62.29328209,63.51106088,63.72088338,63.30403083,62.62051752,Yes
7.637185029,4.891002901,6.588986167,9.373160669,2.830262162,No
7.987185029,4.891002901,5.098986167,8.373160669,2.590262162,No
62.41328209,61.28106088,60.72088338,63.30403083,61.95051752,Yes
26.76551648,27.60826493,31.25953571,28.45616151,33.31127506,Yes
62.41328209,61.74106088,59.35088338,63.30403083,63.13051752,Yes
45.53333801,49.66661497,47.39758055,48.26385093,47.62207173,No
104.3888212,103.7440319,104.281485,106.4826583,105.5368429,No
4.957185029,4.891002901,3.588986167,9.703160669,1.280262162,No
61.02328209,60.74106088,59.67088338,63.30403083,62.62051752,Yes
6.267185029,4.891002901,8.588986167,8.373160669,2.120262162,No
62.41328209,65.74106088,60.21088338,63.08403083,62.62051752,Yes
104.2188212,103.7440319,102.051485,105.5826583,105.5368429,No
6.987185029,3.881002901,6.588986167,8.373160669,0.730262162,No
104.3888212,103.5940319,103.051485,106.1726583,105.1868429,No
45.53333801,50.04661497,49.58758055,48.26385093,48.95207173,No
45.53333801,50.48661497,49.77758055,48.26385093,48.29207173,No
45.53333801,50.24661497,49.77758055,49.26385093,48.48207173,No
104.3288212,104.4640319,103.051485,106.1726583,105.5368429,No
103.6788212,103.6240319,103.051485,106.1726583,103.5368429,No
46.70333801,49.66661497,49.77758055,46.26385093,48.52207173,No
46.42333801,49.66661497,50.77758055,49.67385093,47.95207173,No
27.59551648,27.41826493,32.25953571,26.70616151,31.31127506,Yes
104.0388212,103.7440319,103.051485,107.1726583,104.9668429,No
104.3888212,104.1240319,102.051485,106.1726583,105.5368429,No
104.3888212,103.7440319,103.051485,107.6026583,104.5068429,No
106.3888212,103.8940319,103.211485,106.1726583,105.5368429,No
104.3788212,103.7640319,103.051485,106.1726583,103.5368429,No
62.41328209,61.74106088,59.28088338,60.30403083,62.62051752,Yes
104.2388212,102.7440319,103.031485,106.1726583,105.5368429,No
28.76551648,27.41826493,31.09953571,29.03616151,31.48127506,Yes
104.3888212,104.2040319,102.051485,106.4226583,105.5368429,No
26.61551648,27.41826493,30.25953571,29.03616151,32.13127506,Yes
26.76551648,27.41826493,31.25953571,28.50616151,32.22127506,Yes
104.3888212,103.6540319,102.051485,106.1726583,105.5268429,No
62.85328209,62.74106088,60.82088338,59.30403083,62.62051752,Yes
46.53333801,50.77661497,49.82758055,48.26385093,47.95207173,No
102.3888212,103.9440319,103.051485,106.1726583,105.7468429,No
44.69333801,49.66661497,49.77758055,46.91385093,48.95207173,No
103.3888212,103.7440319,102.791485,106.1726583,105.0468429,No
4.987185029,4.891002901,6.818986167,8.373160669,-0.269737838,No
62.41328209,62.74106088,59.49088338,61.30403083,63.08051752,Yes
104.3888212,104.2640319,103.051485,106.1726583,105.2468429,No
46.53333801,49.66661497,52.55758055,46.84385093,47.95207173,No
4.987185029,3.781002901,5.058986167,8.373160669,0.280262162,No
104.1488212,103.4740319,103.051485,105.1726583,105.5368429,No
104.2788212,104.7440319,103.051485,106.1726583,105.8268429,No
103.3888212,103.9340319,102.941485,106.1726583,105.5368429,No
5.987185029,6.081002901,6.588986167,8.373160669,0.370262162,No
25.38551648,27.41826493,32.30953571,30.03616151,31.31127506,Yes
45.53333801,49.66661497,49.34758055,51.26385093,47.92207173,No
104.3888212,104.5040319,102.461485,106.1726583,105.5368429,No
