TripID,TripLength,MaxSpeed,MostFreqSpeed,TripDuration,Brakes,IdlingTime,Honking
1,21,51,14,93,307,27,112
2,148,130,106,156,226,5,114
3,18,38,16,100,351,26,107
4,22,43,48,36,17,4,5
5,183,108,90,171,88,5,29
6,18,43,13,64,136,25,21
7,20,37,15,85,121,26,23
8,21,38,14,69,114,25,20
9,181,99,108,155,86,5,25
10,174,100,92,133,106,5,34
11,177,130,85,152,210,5,128
12,17,67,41,30,33,4,17
13,19,42,14,102,429,27,97
14,18,39,39,37,20,4,5
15,17,39,16,87,115,25,26
16,193,122,101,150,183,6,94
17,17,61,43,26,40,5,23
18,20,35,43,42,15,4,5
19,21,48,15,88,384,27,98
20,21,39,15,92,131,24,23
21,181,111,100,147,88,6,33
22,20,35,15,88,128,26,22
23,22,35,14,79,343,28,100
24,20,43,16,91,361,26,96
25,20,41,14,87,405,27,84
26,21,37,16,94,120,27,20
27,21,44,45,42,17,5,5
28,19,48,16,86,311,24,90
29,176,126,118,162,174,6,150
30,151,120,105,128,195,5,108
31,23,59,43,29,37,5,24
32,19,40,13,76,144,26,23
33,23,64,39,29,29,5,21
34,171,122,106,118,205,5,138
35,18,48,36,35,19,4,4
36,163,104,95,138,89,5,26
37,193,105,90,133,76,5,29
38,151,124,81,143,87,5,30
39,19,39,46,37,14,5,5
40,20,49,13,103,361,23,101
41,195,110,98,157,83,5,29
42,22,59,42,30,35,5,18
43,20,54,42,34,37,5,22
44,20,35,13,83,123,27,23
45,179,103,87,109,100,5,30
46,20,39,17,98,128,18,22
47,19,53,14,90,265,23,100
48,18,62,34,27,34,5,16
49,179,109,85,158,82,6,27
50,20,46,40,31,17,5,5
51,19,44,15,95,131,28,25
52,23,58,40,33,34,5,20
53,20,38,13,87,99,24,20
54,22,45,48,28,20,4,5
55,20,54,14,77,373,25,98
56,170,131,87,119,85,5,30
57,23,43,15,94,139,32,19
58,19,68,44,22,37,5,20
59,162,122,104,126,182,4,120
60,21,39,45,34,18,5,4
61,20,46,40,29,16,4,5
62,19,43,40,34,16,4,6
63,210,99,90,158,195,4,155
64,163,119,99,142,243,5,135
65,21,41,15,87,308,26,102
66,21,47,38,31,18,4,5
67,18,69,44,32,39,6,21
68,19,64,38,32,36,5,18
69,159,138,84,151,94,4,32
70,22,38,14,92,137,22,21
71,20,36,14,106,149,24,22
72,21,47,17,84,345,24,90
73,16,42,42,34,17,5,5
74,23,41,44,36,20,5,5
75,20,60,40,30,37,5,20
76,176,136,99,138,206,6,118
77,183,106,102,142,211,5,115
78,163,116,93,151,87,4,26
79,21,49,43,33,19,4,5
80,19,62,39,33,36,4,17
81,164,105,101,166,96,4,30
82,154,128,107,152,201,5,148
83,179,118,100,139,168,4,121
84,196,107,89,142,79,5,31
85,16,61,42,35,38,5,17
86,20,59,42,28,41,6,20
87,21,42,13,92,360,24,98
88,183,126,89,149,189,5,130
89,22,44,12,72,349,24,93
90,163,135,91,129,202,5,144
91,20,64,42,27,36,5,20
